신청일,직업군,상품유형,신용점수,연소득,제시금리,제시한도,승인여부
2026-06-01,직장인,비상금대출,824,3870.0,11.3,300.0,1
2026-06-01,직장인,신용대출,768,5960.0,9.1,4850.0,1
2026-06-01,직장인,비상금대출,762,3850.0,11.4,300.0,1
2026-06-01,직장인,비상금대출,711,7220.0,10.6,300.0,1
2026-06-02,,신용대출,843,4440.0,8.5,4810.0,1
2026-06-03,무직·주부,신용대출,684,1880.0,13.7,700.0,0
2026-06-03,직장인,비상금대출,782,4830.0,11.6,300.0,1
2026-06-03,직장인,신용대출,796,6560.0,9.9,6950.0,1
2026-06-03,직장인,신용대출,620,4390.0,13.2,4300.0,0
2026-06-04,직장인,신용대출,689,4270.0,12.9,3740.0,1
2026-06-04,직장인,신용대출,835,3940.0,9.6,3580.0,1
2026-06-04,직장인,대환대출,737,6200.0,9.4,7550.0,0
2026-06-04,공무원,신용대출,685,6320.0,11.8,7050.0,0
2026-06-04,자영업자,대환대출,573,5640.0,11.3,4420.0,0
2026-06-05,직장인,신용대출,765,4560.0,11.1,3660.0,0
2026-06-05,무직·주부,신용대출,683,1670.0,12.0,440.0,0
2026-06-05,무직·주부,신용대출,601,940.0,14.9,280.0,0
2026-06-05,프리랜서,비상금대출,686,3110.0,13.1,300.0,1
2026-06-05,무직·주부,신용대출,576,1140.0,15.3,280.0,0
2026-06-05,자영업자,대환대출,641,5600.0,11.1,2360.0,1
2026-06-06,자영업자,대환대출,743,2000.0,11.4,1830.0,1
2026-06-06,무직·주부,대환대출,478,550.0,15.7,170.0,0
2026-06-06,직장인,비상금대출,783,3920.0,11.3,300.0,1
2026-06-06,,신용대출,651,1320.0,12.5,370.0,0
2026-06-06,프리랜서,대환대출,528,14580.0,14.5,10230.0,0
2026-06-07,직장인,신용대출,633,6940.0,13.5,9230.0,0
2026-06-08,직장인,신용대출,778,5700.0,9.0,5720.0,1
2026-06-08,프리랜서,신용대출,830,4340.0,10.2,1550.0,1
2026-06-08,공무원,신용대출,798,4080.0,8.0,4380.0,1
2026-06-09,무직·주부,비상금대출,877,1460.0,7.5,300.0,1
2026-06-10,,비상금대출,670,48000000.0,11.5,300.0,1
2026-06-10,,비상금대출,722,1980.0,13.8,300.0,1
2026-06-10,자영업자,비상금대출,683,1290.0,13.1,300.0,1
2026-06-11,,비상금대출,628,1180.0,15.7,200.0,0
2026-06-12,직장인,대환대출,770,4890.0,11.7,5060.0,1
2026-06-12,프리랜서,신용대출,604,1760.0,13.7,760.0,1
2026-06-13,자영업자,신용대출,546,2660.0,15.1,1210.0,0
2026-06-13,자영업자,비상금대출,640,5850.0,14.1,300.0,0
2026-06-14,무직·주부,신용대출,543,,14.1,530.0,0
2026-06-14,프리랜서,신용대출,633,2770.0,13.0,1620.0,1
2026-06-14,직장인,신용대출,672,9400.0,9.6,9730.0,0
2026-06-15,,대환대출,573,5340.0,11.4,5830.0,0
2026-06-16,프리랜서,대환대출,650,5240.0,11.1,,1
2026-06-17,,비상금대출,881,3610.0,7.5,300.0,1
2026-06-17,무직·주부,신용대출,708,840.0,11.4,160.0,1
2026-06-17,직장인,신용대출,803,3210.0,10.0,3080.0,1
2026-06-17,직장인,비상금대출,859,6930.0,10.9,300.0,1
2026-06-17,직장인,비상금대출,714,7710.0,11.2,300.0,1
2026-06-17,직장인,신용대출,788,4680.0,8.0,5040.0,1
2026-06-17,무직·주부,비상금대출,457,1370.0,16.6,300.0,0
2026-06-18,무직·주부,신용대출,525,1420.0,14.3,530.0,0
2026-06-18,직장인,비상금대출,791,2170.0,10.7,300.0,1
2026-06-18,직장인,대환대출,725,5160.0,8.0,5010.0,1
2026-06-19,무직·주부,대환대출,540,2270.0,12.3,840.0,0
2026-06-21,무직·주부,대환대출,872,1320.0,8.6,530.0,1
2026-06-21,공무원,신용대출,771,5220.0,12.5,6070.0,1
2026-06-21,자영업자,신용대출,717,11760.0,11.0,15000.0,1
2026-06-21,직장인,비상금대출,746,3850.0,12.3,300.0,1
2026-06-22,공무원,비상금대출,755,4730.0,10.2,300.0,1
2026-06-22,자영업자,대환대출,648,3330.0,8.5,3630.0,1
2026-06-23,직장인,비상금대출,786,4250.0,11.9,300.0,1
2026-06-23,프리랜서,신용대출,773,3540.0,10.6,,1
2026-06-23,프리랜서,대환대출,735,6260.0,9.6,1300.0,1
2026-06-23,직장인,신용대출,834,5360.0,9.8,5860.0,1
2026-06-24,직장인,대환대출,855,3710.0,7.4,3340.0,1
2026-06-24,직장인,비상금대출,708,,13.3,300.0,1
2026-06-25,직장인,비상금대출,679,5420.0,12.1,300.0,1
2026-06-25,직장인,신용대출,755,2930.0,12.7,2820.0,1
2026-06-25,직장인,비상금대출,735,5470.0,12.1,300.0,1
2026-06-25,직장인,신용대출,827,3700.0,9.1,3340.0,1
2026-06-26,자영업자,비상금대출,683,,14.9,300.0,0
2026-06-26,직장인,신용대출,817,,8.4,2900.0,1
2026-06-26,공무원,비상금대출,718,5210.0,11.9,300.0,1
2026-06-26,직장인,대환대출,848,5850.0,6.4,4040.0,1
2026-06-26,자영업자,비상금대출,744,1070.0,10.0,300.0,1
2026-06-26,자영업자,대환대출,630,1600.0,11.5,400.0,1
2026-06-27,자영업자,신용대출,667,2630.0,12.0,1080.0,0
2026-06-27,직장인,신용대출,812,4450.0,35.0,4600.0,1
2026-06-27,무직·주부,비상금대출,619,2190.0,16.5,300.0,0
2026-06-28,직장인,신용대출,813,,7.0,7480.0,1
2026-06-28,프리랜서,비상금대출,671,7100.0,12.6,300.0,1
2026-06-29,프리랜서,비상금대출,729,2280.0,11.5,300.0,1
2026-06-29,직장인,비상금대출,780,8220.0,12.4,300.0,1
2026-06-30,직장인,신용대출,651,5400.0,13.2,5610.0,1
2026-06-30,자영업자,대환대출,712,3170.0,10.5,1770.0,1
2026-06-30,프리랜서,신용대출,610,1940.0,14.0,740.0,0
2026-07-01,직장인,신용대출,777,5440.0,10.2,5650.0,1
2026-07-02,직장인,대환대출,829,3850.0,7.0,3390.0,1
2026-07-02,직장인,대환대출,823,3520.0,6.6,2870.0,1
2026-07-03,직장인,대환대출,764,6220.0,10.8,4580.0,1
2026-07-03,프리랜서,신용대출,626,3260.0,14.6,1910.0,1
2026-07-03,자영업자,비상금대출,702,2660.0,11.6,300.0,1
2026-07-03,자영업자,신용대출,612,11570.0,12.7,4620.0,0
2026-07-04,무직·주부,신용대출,401,960.0,18.6,460.0,0
2026-07-04,,신용대출,778,6530.0,10.0,8140.0,1
2026-07-04,직장인,신용대출,690,5650.0,14.2,4760.0,0
2026-07-04,직장인,대환대출,627,3970.0,13.7,2980.0,0
2026-07-04,무직·주부,신용대출,844,820.0,10.7,380.0,1
2026-07-05,직장인,비상금대출,691,5420.0,15.1,300.0,1
2026-07-06,자영업자,비상금대출,590,5210.0,14.1,300.0,0
2026-07-06,무직·주부,신용대출,703,920.0,11.2,430.0,1
